Id,Target
v_009evckk5b_0000,1 533.545 1016.865 77.75 35.87 0;1 909.665 843.46 38.17 86.5 0;1 915.965 949.2 32.35 77.3 0;1 918.505 1048.55 35.61 62.9 0;1 932.185 399.935 35.25 81.19 346.35;1 962.46 888.865 33.82 76.87 0;1 966.34 1047.37 38 65.26 0;7 1680.19 132.055 118.4 49.67 0
v_016is7moli_0000,1 691.945 500.475 99.85 44.67 0
v_01tp2eyell_0000,none
v_03ah598sio_0000,1 1097.695 534.495 103.77 47.49 0
v_03rc50t2e6_0000,8 1349.91 492.615 66.12 22.55 0
v_0482m44rij_0000,1 931.82 668.8 82.66 33.62 266.7;1 933.655 816.32 82.83 32.46 269.8;1 934.905 969.42 33.69 84.94 0;1 944.485 1058.7 42.25 31.66 270.7;1 954.245 133.62 36.59 80.8 0;1 991.63 899.56 86.14 34.84 269.8;1 998.865 644.685 37.35 86.77 356.1;1 1113.285 571.28 84.39 35.26 343.1;4 991.555 1058.74 41.71 38.2 270.1;7 957.15 284 52.6 187.64 0
v_05id2q6r4r_0000,1 637.55 1060.94 73.62 36.42 5;1 696.875 1028.85 82.37 40.22 20.76;1 909.145 885.17 35.85 86.44 0;1 907.805 1000.77 32.91 81.16 0;1 952.86 986.27 30.38 82.42 0;1 963.675 874.1 33.57 75.38 0;1 1063.98 439.555 77.56 32.91 0;1 1400.72 424.73 86.66 37.6 0;4 1666.15 447.355 100.24 39.17 0.3;7 214.835 263.495 96.25 43.97 0;8 946.53 380.37 55.8 26.5 0
v_05wejrqj6h_0000,1 168.455 530.16 109.05 53.86 0;1 1201.81 482.205 123.5 57.81 0;9 330.07 493.395 51.26 25.01 0
v_06a65kr4uy_0000,1 212.74 387.665 85.4 35.63 0;1 298.53 480.815 82.6 34.05 0;1 327.13 389.905 86.2 34.31 0;1 375.85 441.51 82.36 35.22 0;1 398.21 482.755 82.86 33.69 0;1 436.98 384.46 86.44 34.62 0;1 505.075 482.62 86.01 35.9 1.9;1 521.27 436.02 86.18 35.24 1.1;1 530.55 1025.58 77.74 35.88 0;1 535.21 386.565 78.56 33.39 1.2;1 619.19 482.425 82.8 34.71 0.5;1 639.335 385.195 84.21 33.17 2;1 646.15 433.54 83.6 34.94 0.7;1 874.895 421.625 34.33 76.63 337.95;1 1086.325 278.885 81.43 37.35 0;1 1130.81 84.04 93.78 42.32 359.5;1 1140.96 141.395 81.48 37.11 0;1 1179.485 229.62 89.31 39.44 0;1 1205.23 281.795 82.2 36.89 0;1 1311.83 277.98 80.92 37.9 0;1 1395.965 281.84 70.23 33.44 0;1 1436.735 325.96 90.73 37.12 0;1 1465.425 224.6 92.69 35.76 0;1 1492.225 267.35 88.45 36.68 0;1 1590.47 224.81 91.58 35.24 0;1 1747.53 286.56 94.34 39.64 2.8;2 1074.905 230.95 93.27 37.2 0;2 1323.185 224.93 109.75 42.4 0;2 1891.805 229.155 56.39 45.11 0;4 1277.05 326.5 84.82 37.36 0;4 1565.735 322.1 99.97 39.8 0;7 178.07 482.485 110.98 34.83 0;7 693.09 270.93 35.74 87.24 287;7 1110.215 320.135 102.23 42.39 0;7 1605.155 268.285 120.07 44.67 0;9 568.515 414.615 42.27 13.63 4.2;9 1022.865 203.08 40.41 12.3 0
v_06gsqrb2sb_0000,1 1912.3 538.2 15.4 35.5 0;9 1298.65 461.04 48.7 15.22 0;9 1628.675 552.47 56.49 17.9 0
