epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,13.182,1.31459,3.52718,1.37134,0.07382,0.82848,0.0789,0.08789,0.06595,0.87895,1.92792,1.01301,0.01842,0.000250508,0.000250508,0.000250508
2,21.9373,0.89663,1.25527,0.95392,0.01698,0.54752,0.26575,0.22427,0.17035,0.82678,0.98656,0.93643,0.01294,0.000496805,0.000496805,0.000496805
3,30.4399,0.80301,0.95096,0.90432,0.01405,0.44989,0.38089,0.32683,0.2611,0.66347,0.76418,0.87607,0.01106,0.000732953,0.000732953,0.000732953
4,39.0404,0.76665,0.82683,0.87725,0.01252,0.46089,0.50641,0.39912,0.3069,0.71714,0.73918,0.87414,0.01039,0.000723321,0.000723321,0.000723321
5,47.6203,0.72623,0.75763,0.86842,0.01135,0.5174,0.48029,0.42244,0.32899,0.712,0.71993,0.87283,0.00933,0.000708095,0.000708095,0.000708095
6,56.3071,0.71352,0.72134,0.86256,0.01061,0.56175,0.45638,0.47847,0.38141,0.61088,0.62468,0.84775,0.00877,0.000692869,0.000692869,0.000692869
7,64.7803,0.68918,0.68366,0.86124,0.0101,0.48015,0.53613,0.47781,0.38254,0.59187,0.60001,0.84844,0.00758,0.000677643,0.000677643,0.000677643
8,73.2835,0.68536,0.66365,0.8554,0.00921,0.44435,0.52438,0.4771,0.38127,0.59788,0.59957,0.84959,0.00784,0.000662417,0.000662417,0.000662417
9,81.871,0.66823,0.64229,0.85205,0.00924,0.50563,0.52754,0.52135,0.4259,0.59256,0.6263,0.84572,0.00724,0.00064719,0.00064719,0.00064719
10,90.4239,0.66767,0.62827,0.84804,0.00878,0.62702,0.58824,0.59424,0.48386,0.56896,0.54426,0.83945,0.00707,0.000631964,0.000631964,0.000631964
11,99.1006,0.65862,0.601,0.8461,0.0087,0.65475,0.60313,0.6303,0.51817,0.57285,0.53066,0.84167,0.00684,0.000616738,0.000616738,0.000616738
12,107.651,0.66049,0.60338,0.84267,0.00896,0.61375,0.60454,0.62546,0.50985,0.60366,0.55837,0.84722,0.00607,0.000601512,0.000601512,0.000601512
13,116.185,0.65074,0.5908,0.84444,0.00822,0.61688,0.62427,0.60657,0.49536,0.57712,0.55976,0.84194,0.00641,0.000586286,0.000586286,0.000586286
14,124.769,0.6375,0.58246,0.84447,0.00788,0.63014,0.69394,0.66405,0.54466,0.551,0.52148,0.83537,0.00653,0.000571059,0.000571059,0.000571059
15,133.33,0.62739,0.56408,0.84174,0.00844,0.6724,0.6439,0.66842,0.54737,0.57508,0.52734,0.83958,0.00603,0.000555833,0.000555833,0.000555833
16,141.919,0.63012,0.56765,0.83881,0.00774,0.65742,0.67674,0.67583,0.55756,0.56656,0.52657,0.83549,0.00632,0.000540607,0.000540607,0.000540607
17,150.468,0.61579,0.54597,0.83789,0.00783,0.71343,0.69318,0.75036,0.61848,0.54317,0.48278,0.83562,0.00592,0.000525381,0.000525381,0.000525381
18,159.073,0.61708,0.54473,0.83585,0.00737,0.69053,0.68803,0.74114,0.61058,0.53879,0.48845,0.83399,0.00587,0.000510155,0.000510155,0.000510155
