epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2305,1.27523,3.49304,1.2935,0.06551,0.0743,0.26979,0.11514,0.08459,0.88683,1.80842,1.01647,0.01819,0.000251673,0.000251673,0.000251673
2,27.0454,0.86703,1.15076,0.94174,0.01515,0.42679,0.30283,0.24627,0.18666,0.75464,0.91768,0.91006,0.01493,0.000497948,0.000497948,0.000497948
3,37.6626,0.79269,0.88352,0.88928,0.01412,0.52457,0.46398,0.41848,0.31761,0.74819,0.77593,0.8845,0.01188,0.000734072,0.000734072,0.000734072
4,48.2285,0.74413,0.76977,0.87094,0.01185,0.56735,0.58771,0.52063,0.39942,0.7097,0.72353,0.8771,0.01028,0.000723321,0.000723321,0.000723321
5,58.7349,0.71388,0.70472,0.8669,0.01076,0.53571,0.63232,0.58323,0.45236,0.65745,0.64361,0.86505,0.0096,0.000708095,0.000708095,0.000708095
6,69.3662,0.69034,0.66562,0.85608,0.00948,0.61256,0.6226,0.64096,0.50466,0.62004,0.57958,0.85326,0.00874,0.000692869,0.000692869,0.000692869
7,79.8891,0.67725,0.6428,0.85086,0.00915,0.67187,0.64967,0.66445,0.52455,0.64313,0.59025,0.86008,0.00774,0.000677643,0.000677643,0.000677643
8,90.4106,0.67735,0.62845,0.84956,0.00929,0.71497,0.6572,0.677,0.53819,0.61981,0.56617,0.85448,0.00799,0.000662417,0.000662417,0.000662417
9,101.023,0.66843,0.6176,0.8445,0.00919,0.68753,0.64835,0.67162,0.52969,0.69323,0.59723,0.86818,0.0079,0.00064719,0.00064719,0.00064719
10,111.631,0.66245,0.59438,0.84583,0.00837,0.72482,0.68924,0.73359,0.59649,0.58068,0.51425,0.85221,0.0061,0.000631964,0.000631964,0.000631964
11,122.201,0.64567,0.57739,0.84597,0.00808,0.81838,0.65627,0.74339,0.60382,0.5817,0.51292,0.84792,0.00699,0.000616738,0.000616738,0.000616738
12,132.781,0.64058,0.56633,0.84428,0.00778,0.68992,0.66023,0.6975,0.56686,0.58525,0.5256,0.84497,0.00655,0.000601512,0.000601512,0.000601512
13,143.322,0.62533,0.55487,0.83899,0.00782,0.7829,0.68769,0.76539,0.62002,0.60346,0.50888,0.84758,0.00633,0.000586286,0.000586286,0.000586286
14,154.001,0.6241,0.54505,0.83913,0.00747,0.8139,0.67943,0.75924,0.61589,0.57931,0.50108,0.846,0.00624,0.000571059,0.000571059,0.000571059
15,164.559,0.62199,0.54046,0.83772,0.00763,0.72784,0.69988,0.73375,0.60493,0.57359,0.49893,0.8394,0.00683,0.000555833,0.000555833,0.000555833
16,175.128,0.61061,0.53207,0.8378,0.00735,0.76595,0.71318,0.76162,0.6165,0.6044,0.50992,0.84618,0.00587,0.000540607,0.000540607,0.000540607
17,185.737,0.61213,0.52702,0.83543,0.00719,0.76876,0.72561,0.78081,0.64505,0.56033,0.49358,0.83802,0.00656,0.000525381,0.000525381,0.000525381
18,196.314,0.61347,0.52234,0.83428,0.00743,0.74152,0.72821,0.76651,0.6179,0.58533,0.49502,0.84278,0.00593,0.000510155,0.000510155,0.000510155
19,206.926,0.60245,0.51012,0.83089,0.00713,0.74572,0.69156,0.76952,0.6326,0.54883,0.48587,0.83404,0.00553,0.000494928,0.000494928,0.000494928
20,217.573,0.59666,0.50137,0.83237,0.00682,0.73779,0.70178,0.76831,0.63121,0.53946,0.47035,0.83251,0.00555,0.000479702,0.000479702,0.000479702
21,228.26,0.60842,0.51359,0.82733,0.00724,0.72956,0.72227,0.77353,0.63687,0.56569,0.52559,0.8374,0.0058,0.000464476,0.000464476,0.000464476
22,238.848,0.60036,0.50458,0.82643,0.00685,0.68823,0.65828,0.73565,0.60817,0.56036,0.48847,0.83437,0.00572,0.00044925,0.00044925,0.00044925
23,249.435,0.59061,0.48898,0.82634,0.00654,0.82326,0.74693,0.81829,0.67944,0.52778,0.44815,0.83207,0.00531,0.000434024,0.000434024,0.000434024
24,260.06,0.58833,0.48797,0.83,0.00684,0.79583,0.74757,0.79549,0.65761,0.53373,0.44772,0.83148,0.00522,0.000418797,0.000418797,0.000418797
25,270.692,0.58711,0.4863,0.82579,0.00641,0.79853,0.74343,0.80785,0.67447,0.54998,0.45213,0.83451,0.00522,0.000403571,0.000403571,0.000403571
26,281.3,0.58303,0.47448,0.82571,0.00654,0.74211,0.77693,0.79132,0.66048,0.52864,0.44852,0.83028,0.00518,0.000388345,0.000388345,0.000388345
27,291.939,0.58578,0.47873,0.82684,0.00696,0.78098,0.77413,0.81362,0.67569,0.5379,0.45221,0.83243,0.0048,0.000373119,0.000373119,0.000373119
28,302.611,0.57553,0.46874,0.8221,0.00638,0.80278,0.71888,0.79812,0.65326,0.55855,0.45896,0.83721,0.00473,0.000357893,0.000357893,0.000357893
29,313.196,0.57595,0.46829,0.82174,0.00629,0.78689,0.78666,0.82335,0.69296,0.51384,0.43279,0.82823,0.00488,0.000342666,0.000342666,0.000342666
30,323.786,0.56695,0.45854,0.82172,0.00623,0.82341,0.74293,0.82792,0.69079,0.53314,0.43809,0.83079,0.00484,0.00032744,0.00032744,0.00032744
31,334.385,0.56852,0.45241,0.82506,0.00625,0.7901,0.77596,0.8308,0.69097,0.53223,0.43693,0.83289,0.00459,0.000312214,0.000312214,0.000312214
32,344.97,0.56941,0.45429,0.8243,0.00604,0.74711,0.75269,0.8024,0.66517,0.54487,0.4472,0.83359,0.00475,0.000296988,0.000296988,0.000296988
33,355.617,0.56437,0.45455,0.82355,0.00616,0.82522,0.77872,0.85109,0.70758,0.52744,0.42519,0.83098,0.00455,0.000281762,0.000281762,0.000281762
34,366.301,0.55811,0.43947,0.82506,0.0061,0.85669,0.73258,0.83374,0.69263,0.529,0.42821,0.83165,0.00456,0.000266535,0.000266535,0.000266535
35,376.958,0.55921,0.44892,0.81701,0.00621,0.83388,0.76843,0.83629,0.69895,0.51565,0.42262,0.8294,0.00449,0.000251309,0.000251309,0.000251309
36,387.619,0.55997,0.44584,0.82229,0.0056,0.83414,0.78657,0.85255,0.70897,0.51567,0.41868,0.82968,0.00476,0.000236083,0.000236083,0.000236083
37,398.306,0.55957,0.4399,0.82103,0.00638,0.80168,0.74175,0.8087,0.6715,0.54131,0.44007,0.83261,0.00453,0.000220857,0.000220857,0.000220857
38,408.902,0.55377,0.44011,0.81946,0.00592,0.81844,0.78857,0.84678,0.71184,0.52347,0.41838,0.83098,0.00433,0.000205631,0.000205631,0.000205631
39,419.419,0.54952,0.43127,0.82358,0.00589,0.8066,0.76821,0.8309,0.69366,0.51563,0.41668,0.8293,0.0047,0.000190404,0.000190404,0.000190404
40,429.942,0.54589,0.43263,0.81954,0.00563,0.79676,0.78254,0.84129,0.70098,0.51717,0.41733,0.82965,0.00453,0.000175178,0.000175178,0.000175178
41,442.152,0.5076,0.40745,0.82872,0.00463,0.76859,0.75176,0.79017,0.66273,0.53669,0.44393,0.83274,0.00462,0.000159952,0.000159952,0.000159952
42,452.389,0.4989,0.38676,0.82768,0.00466,0.78236,0.78845,0.82218,0.68148,0.52911,0.42663,0.83054,0.00448,0.000144726,0.000144726,0.000144726
43,462.54,0.50105,0.38452,0.82612,0.00469,0.79935,0.77513,0.83536,0.69642,0.52212,0.42361,0.83135,0.00427,0.0001295,0.0001295,0.0001295
44,472.681,0.48973,0.37655,0.82768,0.00438,0.82379,0.79059,0.84854,0.70943,0.52283,0.41483,0.83063,0.00448,0.000114273,0.000114273,0.000114273
45,482.921,0.48589,0.37455,0.82752,0.00451,0.79501,0.80955,0.8457,0.70842,0.51617,0.41453,0.82832,0.00437,9.90472e-05,9.90472e-05,9.90472e-05
46,493.16,0.48163,0.36568,0.82896,0.0043,0.83761,0.77344,0.85143,0.70835,0.51664,0.40812,0.82812,0.00446,8.3821e-05,8.3821e-05,8.3821e-05
47,503.339,0.48901,0.37026,0.83001,0.00433,0.84127,0.77689,0.85084,0.71762,0.51398,0.40328,0.82952,0.00423,6.85948e-05,6.85948e-05,6.85948e-05
48,513.518,0.48781,0.37101,0.82409,0.00471,0.8383,0.78606,0.84751,0.70792,0.52018,0.40573,0.82944,0.00432,5.33686e-05,5.33686e-05,5.33686e-05
49,523.623,0.48652,0.36891,0.82453,0.00457,0.85225,0.77422,0.85655,0.71532,0.5082,0.40144,0.82755,0.0044,3.81424e-05,3.81424e-05,3.81424e-05
50,533.765,0.48506,0.36553,0.82539,0.00449,0.85179,0.78008,0.86011,0.72278,0.50325,0.39835,0.82683,0.00445,2.29162e-05,2.29162e-05,2.29162e-05
