image_id,clip_id,class_id,class_name,cx,cy,width,height,angle,area_px,area_ratio,out_of_bounds
v_03ah598sio_0049,v_03ah598sio,1,car,446.9,520.425,103.78,47.49,0.0,4928.5122,0.0023767902199074075,0
v_03ah598sio_0049,v_03ah598sio,1,car,1012.385,1015.57,38.69,98.54,0.0,3812.5126,0.0018385959683641976,0
v_06xnbcrtte_0021,v_06xnbcrtte,1,car,11.52,490.055,22.94,31.89,359.2,731.5566,0.00035279542824074076,0
v_06xnbcrtte_0021,v_06xnbcrtte,1,car,523.63,537.28,76.6,31.0,0.0,2374.6,0.0011451581790123456,0
v_06xnbcrtte_0021,v_06xnbcrtte,1,car,638.565,488.18,86.83,30.34,359.7,2634.4222,0.001270458236882716,0
v_06xnbcrtte_0021,v_06xnbcrtte,1,car,787.08,526.86,31.0,82.38,73.8,2553.7799999999997,0.0012315682870370369,0
v_06xnbcrtte_0021,v_06xnbcrtte,1,car,908.64,471.43,28.68,66.04,40.05,1894.0272000000002,0.0009134004629629631,0
v_06xnbcrtte_0021,v_06xnbcrtte,1,car,961.44,327.205,30.34,76.51,6.85,2321.3134,0.0011194605516975308,0
v_06xnbcrtte_0021,v_06xnbcrtte,1,car,970.38,156.775,30.7,77.47,3.0,2378.3289999999997,0.0011469565007716047,0
v_06xnbcrtte_0021,v_06xnbcrtte,1,car,1012.28,267.4,31.36,85.46,0.4,2680.0256,0.0012924506172839506,0
v_06xnbcrtte_0021,v_06xnbcrtte,1,car,1023.34,59.32,31.14,89.5,355.4,2787.03,0.0013440538194444446,0
v_06xnbcrtte_0021,v_06xnbcrtte,1,car,1043.565,727.78,31.13,80.26,359.0,2498.4938,0.0012049063464506173,0
v_06xnbcrtte_0021,v_06xnbcrtte,1,car,1069.66,538.725,81.46,33.31,356.6,2713.4326,0.0013085612461419753,0
v_06xnbcrtte_0021,v_06xnbcrtte,1,car,1226.015,479.1,83.21,30.6,358.2,2546.226,0.0012279253472222223,0
v_06xnbcrtte_0021,v_06xnbcrtte,7,truck,399.76,563.775,91.34,36.39,358.7,3323.8626000000004,0.0016029429976851853,0
v_09gpsv2mc8_0047,v_09gpsv2mc8,1,car,104.16,467.245,96.0,32.53,0.0,3122.88,0.0015060185185185185,0
v_09gpsv2mc8_0047,v_09gpsv2mc8,1,car,99.47,427.16,73.56,28.3,0.0,2081.748,0.001003929398148148,0
v_09gpsv2mc8_0047,v_09gpsv2mc8,1,car,187.99,257.12,79.2,31.6,1.1,2502.7200000000003,0.0012069444444444445,0
v_09gpsv2mc8_0047,v_09gpsv2mc8,1,car,203.925,369.46,84.49,33.2,0.0,2805.068,0.001352752700617284,0
v_09gpsv2mc8_0047,v_09gpsv2mc8,1,car,302.295,298.75,97.43,36.82,0.0,3587.3726,0.0017300215084876543,0
v_09gpsv2mc8_0047,v_09gpsv2mc8,1,car,293.85,1000.04,76.28,34.6,0.0,2639.288,0.0012728047839506173,0
v_09gpsv2mc8_0047,v_09gpsv2mc8,1,car,325.6,472.73,112.2,35.3,0.0,3960.66,0.0019100405092592591,0
v_09gpsv2mc8_0047,v_09gpsv2mc8,1,car,367.87,215.585,97.78,34.79,0.0,3401.7662,0.001640512249228395,0
v_09gpsv2mc8_0047,v_09gpsv2mc8,1,car,499.145,462.71,63.81,28.1,0.0,1793.0610000000001,0.0008647092013888889,0
v_09gpsv2mc8_0047,v_09gpsv2mc8,1,car,527.945,365.995,81.77,34.85,0.0,2849.6845,0.0013742691454475308,0
v_09gpsv2mc8_0047,v_09gpsv2mc8,1,car,533.37,291.355,73.88,28.93,0.0,2137.3484,0.0010307428626543209,0
