id,clip_id,split,object_count,available_subset_size,requested_subset_size
v_01tp2eyell_0001,v_01tp2eyell,train,0,300,1000
v_03ah598sio_0049,v_03ah598sio,train,2,300,1000
v_06xnbcrtte_0021,v_06xnbcrtte,train,13,300,1000
v_09gpsv2mc8_0047,v_09gpsv2mc8,val,31,300,1000
v_0mp55gehz5_0012,v_0mp55gehz5,val,30,300,1000
v_0ofnytwerz_0020,v_0ofnytwerz,train,19,300,1000
v_0s8cb4es83_0018,v_0s8cb4es83,train,40,300,1000
v_0sv121zlkj_0027,v_0sv121zlkj,val,11,300,1000
v_13rzcztzn2_0010,v_13rzcztzn2,train,1,300,1000
v_1c93se7f7c_0044,v_1c93se7f7c,train,3,300,1000
v_1kkn624m4y_0006,v_1kkn624m4y,train,6,300,1000
v_1ofto9j5rr_0021,v_1ofto9j5rr,train,1,300,1000
v_1rfeli831e_0008,v_1rfeli831e,train,6,300,1000
v_1ucfougfdq_0027,v_1ucfougfdq,train,3,300,1000
v_1us0n1cwou_0010,v_1us0n1cwou,train,20,300,1000
v_1v3nchg0m1_0026,v_1v3nchg0m1,train,19,300,1000
v_1wmgtwhmba_0043,v_1wmgtwhmba,train,5,300,1000
v_1zk4d2a7w3_0005,v_1zk4d2a7w3,val,7,300,1000
v_2a14i95fb1_0047,v_2a14i95fb1,train,3,300,1000
v_2dxvvipomi_0041,v_2dxvvipomi,val,8,300,1000
v_2fmgjnh78z_0001,v_2fmgjnh78z,train,11,300,1000
v_2phx07m2il_0043,v_2phx07m2il,train,1,300,1000
v_2qw29fl407_0021,v_2qw29fl407,val,15,300,1000
v_2xxuzy5797_0030,v_2xxuzy5797,train,12,300,1000
v_30pmnl0zcr_0017,v_30pmnl0zcr,train,11,300,1000
v_35qs647kgf_0037,v_35qs647kgf,val,1,300,1000
v_37qg2grbx8_0035,v_37qg2grbx8,train,2,300,1000
v_38e4ejn0c6_0048,v_38e4ejn0c6,train,10,300,1000
v_3cfwxaw23f_0047,v_3cfwxaw23f,train,27,300,1000
v_3hu5i340rr_0037,v_3hu5i340rr,val,0,300,1000
v_3mx8i4vo8k_0012,v_3mx8i4vo8k,val,1,300,1000
v_3qiyfyeqir_0005,v_3qiyfyeqir,train,2,300,1000
v_3tpe0xom25_0009,v_3tpe0xom25,train,12,300,1000
v_3u1ern1dd8_0038,v_3u1ern1dd8,train,8,300,1000
v_3vf73dh5d4_0013,v_3vf73dh5d4,val,7,300,1000
v_3w49zw27sc_0042,v_3w49zw27sc,val,42,300,1000
v_3yzj8nkhg0_0026,v_3yzj8nkhg0,val,1,300,1000
v_435yrh9pf3_0017,v_435yrh9pf3,val,5,300,1000
v_4j4yizs3uu_0023,v_4j4yizs3uu,train,8,300,1000
v_4jida6kigm_0027,v_4jida6kigm,val,11,300,1000
v_4lwre1hk2i_0029,v_4lwre1hk2i,train,43,300,1000
v_4ojx5e4a1n_0010,v_4ojx5e4a1n,train,0,300,1000
v_5acfgb7ua0_0024,v_5acfgb7ua0,val,1,300,1000
v_5ror9vxsrx_0021,v_5ror9vxsrx,train,2,300,1000
v_5zheze2kjr_0009,v_5zheze2kjr,train,42,300,1000
v_64iij3aqe0_0015,v_64iij3aqe0,train,2,300,1000
v_66ok51q8hd_0028,v_66ok51q8hd,val,5,300,1000
v_682q2k39tj_0001,v_682q2k39tj,train,11,300,1000
v_6m3wu0tbtk_0018,v_6m3wu0tbtk,train,5,300,1000
v_6q1ipw9aoq_0024,v_6q1ipw9aoq,train,2,300,1000
v_6qbarag8up_0024,v_6qbarag8up,train,5,300,1000
v_6wcpy7t3rr_0003,v_6wcpy7t3rr,train,40,300,1000
v_6wikobtfep_0027,v_6wikobtfep,train,3,300,1000
v_6xppovrd26_0020,v_6xppovrd26,train,1,300,1000
v_6yirhqbjkd_0007,v_6yirhqbjkd,val,1,300,1000
v_6zh07uddes_0033,v_6zh07uddes,train,25,300,1000
v_78pyb8w7m2_0014,v_78pyb8w7m2,train,1,300,1000
v_7d29jccltt_0044,v_7d29jccltt,train,16,300,1000
v_7sg36mgmvg_0021,v_7sg36mgmvg,val,27,300,1000
v_7zs7ujez77_0049,v_7zs7ujez77,train,5,300,1000
v_83ejx1er6e_0014,v_83ejx1er6e,train,4,300,1000
v_856x3vz6nf_0043,v_856x3vz6nf,train,23,300,1000
v_884t99ixr1_0029,v_884t99ixr1,train,2,300,1000
v_8l3pjgmlfr_0038,v_8l3pjgmlfr,train,47,300,1000
v_8o5bv9l6le_0010,v_8o5bv9l6le,val,1,300,1000
v_8pihfsoz2l_0023,v_8pihfsoz2l,train,5,300,1000
v_8x4x1xg6lj_0036,v_8x4x1xg6lj,train,22,300,1000
v_92oo8js7ly_0045,v_92oo8js7ly,train,4,300,1000
v_961gu1h6l9_0001,v_961gu1h6l9,val,18,300,1000
v_97m20qsr8f_0001,v_97m20qsr8f,train,25,300,1000
v_9akff6lzqs_0030,v_9akff6lzqs,train,1,300,1000
v_9d4epmynqo_0011,v_9d4epmynqo,train,41,300,1000
v_9kc7xo3jmn_0008,v_9kc7xo3jmn,train,4,300,1000
v_9mpk7r4b5j_0040,v_9mpk7r4b5j,train,1,300,1000
v_9n7j8m0pig_0000,v_9n7j8m0pig,train,5,300,1000
v_9rajf7c3b0_0042,v_9rajf7c3b0,train,0,300,1000
v_9v4lxizqv8_0004,v_9v4lxizqv8,train,27,300,1000
v_9xqv3vbd2n_0019,v_9xqv3vbd2n,val,2,300,1000
v_a0ls05cd51_0016,v_a0ls05cd51,train,1,300,1000
v_a0vwscsw6p_0008,v_a0vwscsw6p,val,2,300,1000
v_aezq2v2os1_0028,v_aezq2v2os1,train,2,300,1000
v_afhs8e8chi_0000,v_afhs8e8chi,train,11,300,1000
v_ags40vgt6h_0011,v_ags40vgt6h,val,1,300,1000
v_ajl3wk2lc0_0022,v_ajl3wk2lc0,train,2,300,1000
v_at0nazxy83_0046,v_at0nazxy83,train,4,300,1000
v_awslkgu4yp_0042,v_awslkgu4yp,train,44,300,1000
v_azsh7mr6fm_0031,v_azsh7mr6fm,train,2,300,1000
v_b0ge2kn580_0017,v_b0ge2kn580,train,19,300,1000
v_b9y35x9ivz_0001,v_b9y35x9ivz,val,18,300,1000
v_bapchxld41_0044,v_bapchxld41,train,30,300,1000
v_bgi9ktcgda_0033,v_bgi9ktcgda,train,43,300,1000
v_bgyqee9f8k_0045,v_bgyqee9f8k,train,28,300,1000
v_bh2crsapvm_0001,v_bh2crsapvm,train,1,300,1000
v_bkrnhozz15_0025,v_bkrnhozz15,train,3,300,1000
v_bn0q4d649g_0040,v_bn0q4d649g,val,43,300,1000
v_bzgxoanxvr_0049,v_bzgxoanxvr,train,1,300,1000
v_c4o4wdri32_0021,v_c4o4wdri32,val,5,300,1000
v_c7gtxc0fr8_0032,v_c7gtxc0fr8,train,17,300,1000
v_cbg48cgm1n_0014,v_cbg48cgm1n,train,9,300,1000
v_cbrd8irjjf_0046,v_cbrd8irjjf,val,6,300,1000
v_cdn8rl7l9y_0014,v_cdn8rl7l9y,train,1,300,1000
v_cec6zlvav9_0038,v_cec6zlvav9,train,0,300,1000
v_chlul5xlyf_0048,v_chlul5xlyf,train,0,300,1000
v_cirth50shb_0007,v_cirth50shb,train,26,300,1000
v_ciugrp2o9m_0010,v_ciugrp2o9m,train,13,300,1000
v_cmduq2oh71_0023,v_cmduq2oh71,train,8,300,1000
v_cqfmzef0io_0033,v_cqfmzef0io,train,17,300,1000
v_cvp7tdcwa2_0009,v_cvp7tdcwa2,train,1,300,1000
v_d93kakshvf_0010,v_d93kakshvf,train,13,300,1000
v_daqso071ui_0023,v_daqso071ui,train,15,300,1000
v_dc11gl5xxe_0019,v_dc11gl5xxe,train,4,300,1000
v_dehdpg976n_0030,v_dehdpg976n,train,1,300,1000
v_dhcy4nqxmn_0028,v_dhcy4nqxmn,train,0,300,1000
v_dp3dwhfdws_0028,v_dp3dwhfdws,val,6,300,1000
v_dp7u6lkn3b_0047,v_dp7u6lkn3b,train,3,300,1000
v_drmwv7yc7f_0014,v_drmwv7yc7f,train,18,300,1000
v_dwrqjfch44_0047,v_dwrqjfch44,train,49,300,1000
v_eaq9flrq1l_0045,v_eaq9flrq1l,train,6,300,1000
v_eav0w7vfia_0000,v_eav0w7vfia,val,11,300,1000
v_ebzysvwmau_0013,v_ebzysvwmau,train,3,300,1000
v_eea1grnl0f_0023,v_eea1grnl0f,train,4,300,1000
v_eegu44ulko_0029,v_eegu44ulko,val,27,300,1000
v_ef3r28lnxa_0032,v_ef3r28lnxa,train,13,300,1000
v_ef7bmdjv8u_0009,v_ef7bmdjv8u,train,1,300,1000
v_en1337d17s_0029,v_en1337d17s,train,8,300,1000
v_endcg53tby_0027,v_endcg53tby,train,8,300,1000
v_epabhznuqh_0026,v_epabhznuqh,train,5,300,1000
v_ezo72gwc0x_0017,v_ezo72gwc0x,train,7,300,1000
v_f1lh7z872p_0015,v_f1lh7z872p,val,1,300,1000
v_f2z13lvspo_0014,v_f2z13lvspo,train,12,300,1000
v_f8qy04g8r7_0032,v_f8qy04g8r7,train,7,300,1000
v_fbwnufjbee_0042,v_fbwnufjbee,train,2,300,1000
v_fhb1u2nl2i_0022,v_fhb1u2nl2i,train,8,300,1000
v_fvlzadc8cr_0019,v_fvlzadc8cr,train,12,300,1000
v_fvnjjs1zdp_0015,v_fvnjjs1zdp,train,8,300,1000
v_fw861t0iss_0048,v_fw861t0iss,train,0,300,1000
v_fx5a3x4e3l_0032,v_fx5a3x4e3l,train,11,300,1000
v_fyo63znn4z_0018,v_fyo63znn4z,train,12,300,1000
v_g0w4h0n5lv_0008,v_g0w4h0n5lv,train,10,300,1000
v_g0zgqmhzgh_0028,v_g0zgqmhzgh,val,11,300,1000
v_g5ispywgbm_0011,v_g5ispywgbm,train,3,300,1000
v_g8n7gev0de_0027,v_g8n7gev0de,train,43,300,1000
v_ghbpt8zf27_0041,v_ghbpt8zf27,train,11,300,1000
v_gig403rlnb_0029,v_gig403rlnb,train,14,300,1000
v_gmx64gg2j7_0028,v_gmx64gg2j7,train,2,300,1000
v_gowtdh4du4_0044,v_gowtdh4du4,train,8,300,1000
v_gur784uswy_0018,v_gur784uswy,train,10,300,1000
v_gv39eyu2it_0003,v_gv39eyu2it,train,7,300,1000
v_gvxtl15uol_0037,v_gvxtl15uol,val,7,300,1000
v_gz2ih75d5m_0027,v_gz2ih75d5m,val,5,300,1000
v_h92ktj7wpi_0015,v_h92ktj7wpi,train,2,300,1000
v_helcprhhci_0046,v_helcprhhci,train,3,300,1000
v_hf4wwzqpqn_0030,v_hf4wwzqpqn,val,1,300,1000
v_hh9febk2cz_0029,v_hh9febk2cz,train,2,300,1000
v_hp0fgwmq93_0046,v_hp0fgwmq93,train,5,300,1000
v_hr8fepbf14_0031,v_hr8fepbf14,train,14,300,1000
v_i0q42z9wgi_0005,v_i0q42z9wgi,val,30,300,1000
v_i1cg1t05hq_0041,v_i1cg1t05hq,val,18,300,1000
v_i2bd4vwde7_0030,v_i2bd4vwde7,train,2,300,1000
v_i41wbsiepr_0046,v_i41wbsiepr,train,12,300,1000
v_i6j2p8a7mw_0008,v_i6j2p8a7mw,val,19,300,1000
v_initl5umjd_0044,v_initl5umjd,train,17,300,1000
v_j4ipunq273_0017,v_j4ipunq273,val,1,300,1000
v_j63s9yvulo_0046,v_j63s9yvulo,train,1,300,1000
v_jan9vil7e9_0038,v_jan9vil7e9,train,11,300,1000
v_jcwrohjewu_0016,v_jcwrohjewu,val,1,300,1000
v_jedkzia1gx_0024,v_jedkzia1gx,val,20,300,1000
v_jic85cuptx_0010,v_jic85cuptx,train,11,300,1000
v_jjnsr5u9r0_0004,v_jjnsr5u9r0,train,5,300,1000
v_jk3ajckoy1_0014,v_jk3ajckoy1,train,3,300,1000
v_jlm4the7d8_0027,v_jlm4the7d8,train,49,300,1000
v_jqyqscgn3u_0038,v_jqyqscgn3u,train,20,300,1000
v_jubd7zkr5d_0019,v_jubd7zkr5d,train,1,300,1000
v_k0507pril4_0043,v_k0507pril4,train,0,300,1000
v_k27cij6khm_0009,v_k27cij6khm,train,26,300,1000
v_kb75zilx4a_0022,v_kb75zilx4a,train,8,300,1000
v_ke1pth6jke_0033,v_ke1pth6jke,train,11,300,1000
v_kl82trymp8_0019,v_kl82trymp8,train,28,300,1000
v_kltit1l47h_0015,v_kltit1l47h,train,14,300,1000
v_l80snfk4hi_0037,v_l80snfk4hi,train,27,300,1000
v_l87qohjefj_0036,v_l87qohjefj,train,20,300,1000
v_lbwq14v3yi_0040,v_lbwq14v3yi,train,16,300,1000
v_lk67j0ha5d_0040,v_lk67j0ha5d,train,16,300,1000
v_lnz5vuvhh3_0048,v_lnz5vuvhh3,train,29,300,1000
v_lyruee6zx3_0003,v_lyruee6zx3,train,16,300,1000
v_m3cj8gi92l_0017,v_m3cj8gi92l,val,9,300,1000
v_m5g2y8vh0d_0047,v_m5g2y8vh0d,train,25,300,1000
v_mbp49m4pdk_0037,v_mbp49m4pdk,train,10,300,1000
v_mh5rq9z6do_0028,v_mh5rq9z6do,train,2,300,1000
v_mvy5ar09ro_0013,v_mvy5ar09ro,train,6,300,1000
v_n1syss296d_0015,v_n1syss296d,train,4,300,1000
v_n2pd1bhie3_0023,v_n2pd1bhie3,train,1,300,1000
v_n3c9i6q2j2_0049,v_n3c9i6q2j2,val,2,300,1000
v_n5ls4wz3qs_0030,v_n5ls4wz3qs,train,14,300,1000
v_n7f0v4scts_0000,v_n7f0v4scts,train,0,300,1000
v_n897cnclxy_0007,v_n897cnclxy,val,1,300,1000
v_njdxvi6q31_0026,v_njdxvi6q31,val,2,300,1000
v_nos5a59nd1_0028,v_nos5a59nd1,train,11,300,1000
v_nshmna89zd_0049,v_nshmna89zd,train,31,300,1000
v_nxo50y3em6_0017,v_nxo50y3em6,train,26,300,1000
v_o081kolynu_0021,v_o081kolynu,train,6,300,1000
v_ogseyflsei_0017,v_ogseyflsei,train,2,300,1000
